s,a,r,sp
22220,5,-25,22218
22218,3,-25,21716
21716,5,-25,21714
21714,3,-25,21712
21712,2,-100,21209
21209,5,-25,21207
21207,2,-100,21204
21204,7,-225,21201
21201,2,-100,21199
21199,3,-25,21196
21196,4,0,21193
21193,3,-25,21190
21190,7,-225,21688
21688,3,-25,21686
21686,5,-25,21683
21683,2,-100,21681
21681,3,-25,21679
21679,2,-100,21677
21677,2,-100,21675
21675,6,-100,22673
22673,6,-100,23172
23172,1,-225,23170
23170,2,-100,23169
23169,2,-100,23168
23168,4,0,23667
23667,6,-100,24167
24167,6,-100,25167
25167,2,-100,25167
25167,1,-225,25167
25167,3,-25,25667
25667,6,-100,26168
26168,3,-25,26169
26169,1,-225,26170
26170,5,-25,26672
26672,3,-25,27173
27173,4,0,27675
27675,4,0,27677
27677,7,-225,28179
28179,1,-225,28182
28182,4,0,28684
28684,4,0,28687
28687,2,-100,28690
28690,4,0,28692
28692,3,-25,28695
28695,2,-100,28698
28698,2,-100,28200
28200,7,-225,28703
28703,4,0,28705
28705,4,0,28708
28708,3,-25,28711
28711,5,-25,28713
28713,1,-225,28216
28216,5,-25,28218
28218,1,-225,27720
27720,7,-225,28222
28222,6,-100,28224
28224,5,-25,28226
28226,7,-225,28229
28229,2,-100,27731
27731,4,0,27232
27232,4,0,27234
27234,4,0,26735
26735,7,-225,26736
26736,2,-100,26237
26237,2,-100,25237
25237,3,-25,24737
24737,2,-100,24237
24237,5,-25,24236
24236,7,-225,24236
24236,4,0,23735
23735,2,-100,23234
23234,7,-225,23232
23232,6,-100,23231
23231,3,-25,22729
22729,6,-100,22728
22728,1,-225,22226
22226,3,-25,21724
21724,1,-225,21221
21221,5,-25,21219
21219,7,-225,21716
21716,4,0,21214
21214,3,-25,21211
21211,4,0,21208
21208,1,-225,20705
20705,6,-100,21203
21203,3,-25,20700
20700,5,-25,21197
21197,2,-100,20694
20694,7,-225,21192
21192,4,0,21189
21189,6,-100,21687
21687,1,-225,21685
21685,7,-225,22183
22183,5,-25,22681
22681,2,-100,22680
22680,5,-25,23178
23178,5,-25,23677
23677,2,-100,23676
23676,2,-100,23175
23175,5,-25,23674
23674,4,0,24174
24174,7,-225,24674
24674,2,-100,24674
24674,6,-100,25674
25674,3,-25,25675
25675,6,-100,26176
26176,2,-100,26177
26177,5,-25,26678
26678,7,-225,27180
27180,3,-25,27181
27181,4,0,27683
27683,1,-225,27685
27685,2,-100,27687
27687,7,-225,28189
28189,1,-225,27691
27691,7,-225,28193
28193,4,0,28196
28196,6,-100,28699
28699,7,-225,29202
29202,2,-100,28704
28704,5,-25,29207
29207,6,-100,29210
29210,4,0,29214
29214,4,0,29217
29217,3,-25,28719
28719,3,-25,28722
28722,4,0,28724
28724,3,-25,28227
28227,1,-225,27728
27728,5,-25,27730
27730,2,-100,26732
26732,4,0,26733
26733,2,-100,26234
26234,6,-100,26234
26234,3,-25,25735
25735,5,-25,25235
25235,7,-225,25235
25235,1,-225,24735
24735,6,-100,24735
24735,2,-100,24234
24234,7,-225,24234
24234,1,-225,23733
23733,1,-225,22731
22731,7,-225,22730
22730,7,-225,23229
23229,7,-225,23227
23227,2,-100,22726
22726,2,-100,22223
22223,6,-100,22221
22221,2,-100,21719
21719,6,-100,21717
21717,3,-25,21714
21714,6,-100,21712
21712,5,-25,21710
21710,1,-225,21207
21207,5,-25,21705
21705,2,-100,21202
21202,1,-225,20699
20699,5,-25,21197
21197,7,-225,21694
21694,1,-225,21192
21192,7,-225,21690
21690,7,-225,22188
22188,5,-25,22686
22686,5,-25,23185
23185,6,-100,23684
23684,6,-100,24183
24183,5,-25,24183
24183,7,-225,24683
24683,1,-225,24682
24682,7,-225,25183
25183,3,-25,25683
25683,1,-225,25183
25183,5,-25,25684
25684,3,-25,25685
25685,5,-25,26186
26186,4,0,26187
26187,5,-25,26688
26688,6,-100,27190
27190,3,-25,27191
27191,6,-100,27693
27693,1,-225,27695
27695,6,-100,27697
27697,2,-100,27699
27699,3,-25,27701
27701,7,-225,28203
28203,1,-225,27705
27705,1,-225,27207
27207,2,-100,27208
27208,3,-25,26709
26709,3,-25,26711
26711,5,-25,26712
26712,4,0,26713
26713,6,-100,26715
26715,2,-100,26716
26716,7,-225,26717
26717,1,-225,26218
26218,1,-225,25718
25718,6,-100,26219
26219,6,-100,26220
26220,4,0,26221
26221,5,-25,25721
25721,4,0,25722
25722,4,0,25722
25722,5,-25,25723
25723,2,-100,25223
25223,1,-225,24723
24723,5,-25,24722
24722,5,-25,24722
24722,3,-25,24221
24221,1,-225,23720
23720,1,-225,23219
23219,5,-25,23218
23218,6,-100,23217
23217,5,-25,23216
23216,1,-225,23214
23214,3,-25,22713
22713,6,-100,22711
22711,4,0,22710
22710,3,-25,22708
22708,5,-25,22707
22707,6,-100,23206
23206,6,-100,23204
23204,4,0,23203
23203,1,-225,23202
23202,6,-100,23201
23201,6,-100,23700
23700,6,-100,24200
24200,7,-225,24699
24699,7,-225,24699
24699,5,-25,25199
25199,5,-25,25199
25199,4,0,25200
25200,3,-25,25200
25200,6,-100,25700
25700,3,-25,25701
25701,7,-225,25702
25702,4,0,25702
25702,7,-225,26203
26203,1,-225,25704
25704,3,-25,25704
25704,2,-100,25705
25705,5,-25,25705
25705,3,-25,25706
25706,6,-100,25706
25706,3,-25,25707
25707,7,-225,25707
25707,3,-25,25708
25708,6,-100,26209
26209,1,-225,25709
25709,5,-25,25710
25710,3,-25,25710
25710,5,-25,25711
25711,6,-100,25711
25711,2,-100,25712
25712,4,0,25212
25212,4,0,25212
25212,3,-25,25213
25213,5,-25,25213
25213,6,-100,25213
25213,3,-25,25213
25213,1,-225,24713
24713,3,-25,24713
24713,5,-25,24713
24713,5,-25,24712
24712,2,-100,24212
24212,6,-100,24712
24712,6,-100,24712
24712,2,-100,24211
24211,4,0,24211
24211,7,-225,24710
24710,1,-225,24210
24210,4,0,24209
24209,4,0,24209
24209,5,-25,24208
24208,1,-225,23707
23707,4,0,23707
23707,7,-225,24206
24206,1,-225,23705
23705,1,-225,23704
23704,6,-100,23703
23703,6,-100,24203
24203,6,-100,24703
24703,4,0,24702
24702,3,-25,24202
24202,6,-100,24702
24702,6,-100,25202
25202,6,-100,25202
25202,5,-25,25702
25702,3,-25,25203
25203,4,0,25703
25703,7,-225,25704
25704,1,-225,25704
25704,7,-225,25705
25705,7,-225,26206
26206,1,-225,25706
25706,5,-25,25707
25707,2,-100,25707
25707,5,-25,25708
25708,5,-25,25709
25709,3,-25,25709
25709,4,0,25710
25710,1,-225,25210
25210,2,-100,24710
24710,1,-225,24709
24709,4,0,24709
24709,2,-100,24209
24209,5,-25,24208
24208,4,0,24208
24208,7,-225,24707
24707,7,-225,24707
24707,3,-25,24707
24707,6,-100,24707
24707,3,-25,24707
24707,4,0,24706
24706,2,-100,24206
24206,3,-25,24206
24206,5,-25,24205
24205,7,-225,24705
24705,5,-25,24705
24705,5,-25,25205
25205,1,-225,24705
24705,1,-225,24204
24204,5,-25,24704
24704,5,-25,24704
24704,4,0,24703
24703,6,-100,25204
25204,4,0,25204
25204,6,-100,25204
25204,7,-225,25704
25704,4,0,25705
25705,3,-25,25705
25705,7,-225,25706
25706,4,0,25707
25707,2,-100,25707
25707,1,-225,25207
25207,1,-225,24707
24707,6,-100,25207
25207,6,-100,25207
25207,1,-225,25207
25207,5,-25,25208
25208,2,-100,24708
24708,7,-225,25208
25208,5,-25,25208
25208,7,-225,25708
25708,2,-100,25208
25208,7,-225,25709
25709,7,-225,25709
25709,2,-100,25210
25210,6,-100,25710
25710,7,-225,25711
25711,7,-225,26212
26212,6,-100,26213
26213,1,-225,26213
26213,1,-225,25714
25714,5,-25,25714
25714,1,-225,25214
25214,6,-100,25215
25215,6,-100,25715
25715,1,-225,25215
25215,6,-100,25216
25216,6,-100,25716
25716,5,-25,25717
25717,7,-225,25717
25343,1,-225,24232
24232,1,-225,23731
23731,1,-225,23230
23230,1,-225,22728
22728,1,-225,22226
22226,1,-225,21723
21723,1,-225,21221
21221,1,-225,20718
20718,1,-225,20214
20214,1,-225,19710
19710,1,-225,19206
19206,1,-225,19202
19202,1,-225,18698
18698,1,-225,18693
18693,1,-225,18189
18189,1,-225,18184
18184,1,-225,18179
18179,1,-225,18174
18174,1,-225,18169
18169,1,-225,18164
18164,1,-225,18160
18160,1,-225,18155
18155,1,-225,18650
18650,1,-225,18646
18646,1,-225,19142
19142,1,-225,19138
19138,1,-225,19634
19634,1,-225,20131
20131,1,-225,20128
20128,1,-225,20625
20625,1,-225,21122
21122,1,-225,21620
21620,1,-225,22118
22118,1,-225,22616
22616,1,-225,23115
23115,1,-225,23614
23614,1,-225,24113
24113,1,-225,24613
24613,1,-225,25113
25113,7,-225,26114
26114,7,-225,27116
27116,7,-225,28118
28118,7,-225,29621
29621,7,-225,30625
30625,7,-225,31630
31630,7,-225,32636
32636,7,-225,33642
33642,7,-225,34648
34648,7,-225,35156
35156,7,-225,36164
36164,7,-225,36672
36672,7,-225,37681
37681,7,-225,38190
38190,7,-225,38700
38700,7,-225,39210
39210,7,-225,39220
39220,7,-225,39230
39230,7,-225,39240
39240,7,-225,39251
39251,7,-225,39261
39261,7,-225,39270
39270,7,-225,38780
38780,7,-225,38289
38289,7,-225,37799
37799,7,-225,37307
37307,7,-225,36816
36816,7,-225,36323
36323,7,-225,35831
35831,7,-225,34838
34838,7,-225,34345
34345,7,-225,33851
33851,7,-225,33356
33356,7,-225,32862
32862,7,-225,31867
31867,7,-225,31371
31371,7,-225,30875
30875,7,-225,30379
30379,7,-225,29882
29882,7,-225,29385
29385,7,-225,28887
28887,7,-225,28390
28390,7,-225,27891
27891,7,-225,27393
27393,7,-225,26894
26894,7,-225,26395
26395,7,-225,25895
25895,7,-225,25396
25396,7,-225,24895
24895,1,-225,23894
23894,1,-225,22893
22893,1,-225,21890
21890,1,-225,20387
20387,1,-225,19383
19383,1,-225,18378
18378,1,-225,16873
16873,1,-225,15866
15866,1,-225,14859
14859,1,-225,13351
13351,1,-225,12342
12342,1,-225,10832
10832,1,-225,9821
9821,1,-225,8309
8309,1,-225,7297
7297,1,-225,6283
6283,1,-225,5269
5269,1,-225,4254
4254,1,-225,3239
3239,1,-225,2723
2723,1,-225,2207
2207,1,-225,1691
1691,1,-225,1675
1675,1,-225,1658
1658,1,-225,1642
1642,1,-225,2126
2126,1,-225,2610
2610,1,-225,3094
3094,1,-225,3579
3579,1,-225,4065
4065,1,-225,4551
4551,1,-225,5537
5537,1,-225,6024
6024,1,-225,6511
6511,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29009
29009,7,-225,30013
30013,7,-225,31017
31017,7,-225,32523
32523,7,-225,33529
33529,7,-225,34536
34536,7,-225,36044
36044,7,-225,37052
37052,7,-225,38062
38062,7,-225,39572
39572,7,-225,40583
40583,7,-225,42095
42095,7,-225,43108
43108,7,-225,44622
44622,7,-225,45637
45637,7,-225,46652
46652,7,-225,47168
47168,7,-225,48184
48184,7,-225,48701
48701,7,-225,48718
48718,7,-225,49235
49235,7,-225,49252
49252,7,-225,48769
48769,7,-225,48785
48785,7,-225,48302
48302,7,-225,47818
47818,7,-225,47333
47333,7,-225,46849
46849,7,-225,45863
45863,7,-225,45378
45378,7,-225,44891
44891,7,-225,44405
44405,7,-225,43918
43918,7,-225,43931
43931,7,-225,43444
43444,7,-225,43457
43457,7,99775,43470
25343,3,-25,24730
24730,3,-25,24230
24230,3,-25,23729
23729,3,-25,23228
23228,3,-25,22726
22726,3,-25,22724
22724,3,-25,22222
22222,3,-25,21720
21720,3,-25,21718
21718,3,-25,21215
21215,3,-25,20712
20712,3,-25,20709
20709,3,-25,20706
20706,3,-25,20203
20203,3,-25,20200
20200,3,-25,20196
20196,3,-25,20193
20193,3,-25,20189
20189,3,-25,20186
20186,3,-25,20182
20182,3,-25,20179
20179,3,-25,20176
20176,3,-25,20172
20172,3,-25,20669
20669,3,-25,20666
20666,3,-25,21164
21164,3,-25,21161
21161,3,-25,21659
21659,3,-25,21656
21656,3,-25,22155
22155,3,-25,22653
22653,3,-25,23152
23152,3,-25,23150
23150,3,-25,23650
23650,3,-25,24149
24149,3,-25,24649
24649,3,-25,24649
24649,3,-25,25149
25149,5,-25,26150
26150,5,-25,26651
26651,5,-25,27153
27153,5,-25,28155
28155,5,-25,28658
28658,5,-25,29161
29161,5,-25,30164
30164,5,-25,30668
30668,5,-25,31173
31173,5,-25,31677
31677,5,-25,32182
32182,5,-25,32188
32188,5,-25,32693
32693,5,-25,33199
33199,5,-25,33205
33205,5,-25,33211
33211,5,-25,33717
33717,5,-25,33723
33723,5,-25,33729
33729,5,-25,33235
33235,5,-25,33241
33241,5,-25,33246
33246,5,-25,32752
32752,5,-25,32257
32257,5,-25,32262
32262,5,-25,31767
31767,5,-25,31271
31271,5,-25,30775
30775,5,-25,30279
30279,5,-25,29782
29782,5,-25,29285
29285,5,-25,28788
28788,5,-25,27790
27790,5,-25,27292
27292,5,-25,26793
26793,5,-25,26294
26294,5,-25,25294
25294,5,-25,24794
24794,3,-25,23793
23793,3,-25,22791
22791,3,-25,21789
21789,3,-25,21287
21287,3,-25,20283
20283,3,-25,19279
19279,3,-25,18275
18275,3,-25,17769
17769,3,-25,16764
16764,3,-25,16257
16257,3,-25,15250
15250,3,-25,14743
14743,3,-25,14236
14236,3,-25,13728
13728,3,-25,13220
13220,3,-25,13211
13211,3,-25,12703
12703,3,-25,12694
12694,3,-25,12685
12685,3,-25,12677
12677,3,-25,12668
12668,3,-25,13160
13160,3,-25,13151
13151,3,-25,13643
13643,3,-25,14136
14136,3,-25,14629
14629,3,-25,15122
15122,3,-25,15615
15615,3,-25,16609
16609,3,-25,17104
17104,3,-25,17599
17599,3,-25,18594
18594,3,-25,19090
19090,3,-25,20087
20087,3,-25,20584
20584,3,-25,21582
21582,3,-25,22080
22080,3,-25,23078
23078,3,-25,23578
23578,3,-25,24577
24577,3,-25,25078
25078,5,-25,26579
26579,5,-25,27581
27581,5,-25,28583
28583,5,-25,29587
29587,5,-25,30591
30591,5,-25,31595
31595,5,-25,32601
32601,5,-25,33607
33607,5,-25,34614
34614,5,-25,35622
35622,5,-25,36630
36630,5,-25,37639
37639,5,-25,38149
38149,5,-25,39159
39159,5,-25,39669
39669,5,-25,40180
40180,5,-25,40691
40691,5,-25,41202
41202,5,-25,41214
41214,5,-25,41225
41225,5,-25,41237
41237,5,-25,41248
41248,5,-25,40759
40759,5,-25,40270
40270,5,-25,39780
39780,5,-25,39290
39290,5,-25,38800
38800,5,-25,38309
38309,5,-25,37318
37318,5,-25,36826
36826,5,-25,35834
35834,5,-25,35341
35341,5,-25,34347
34347,5,-25,33353
33353,5,-25,32859
32859,5,-25,31864
31864,5,-25,31368
31368,5,-25,30372
30372,5,-25,29875
29875,5,-25,29378
29378,5,-25,28380
28380,5,-25,27882
27882,5,-25,26884
26884,5,-25,26385
26385,5,-25,25885
25885,5,-25,24885
24885,3,-25,23884
23884,3,-25,22883
22883,3,-25,21881
21881,3,-25,20878
20878,3,-25,19874
19874,3,-25,18870
18870,3,-25,17865
17865,3,-25,16859
16859,3,-25,15853
15853,3,-25,14845
14845,3,-25,13837
13837,3,-25,12328
12328,3,-25,11319
11319,3,-25,10309
10309,3,-25,9298
9298,3,-25,8286
8286,3,-25,7273
7273,3,-25,6761
6761,3,-25,5747
5747,3,-25,5233
5233,3,-25,4719
4719,3,-25,4705
4705,3,-25,4190
4190,3,-25,4176
4176,3,-25,4661
4661,3,-25,4647
4647,3,-25,5133
5133,3,-25,5620
5620,3,-25,6107
6107,3,-25,7094
7094,3,-25,7582
7582,3,-25,8571
8571,3,-25,9060
9060,3,-25,10049
10049,3,-25,10539
10539,3,-25,11530
11530,3,-25,12021
12021,3,-25,13012
13012,3,-25,13504
13504,3,-25,25001
25001,3,-25,25501
25501,5,-25,26002
26002,5,-25,27003
27003,5,-25,28006
28006,5,-25,28508
28508,5,-25,29512
29512,5,-25,30516
30516,5,-25,31520
31520,5,-25,32526
32526,5,-25,33532
33532,5,-25,34539
34539,5,-25,35546
35546,5,-25,36554
36554,5,-25,37563
37563,5,-25,38573
38573,5,-25,39584
39584,5,-25,41095
41095,5,-25,42107
42107,5,-25,43120
43120,5,-25,43633
43633,5,-25,44647
44647,5,-25,45662
45662,5,-25,46177
46177,5,-25,46692
46692,5,-25,46707
46707,5,-25,47223
47223,5,-25,46738
46738,5,-25,46754
46754,5,-25,46269
46269,5,-25,45784
45784,5,-25,45298
45298,5,-25,44812
44812,5,-25,44325
44325,5,-25,43338
43338,5,-25,42350
42350,5,-25,41862
41862,5,-25,40874
40874,5,-25,40384
40384,5,-25,39895
39895,5,-25,38904
38904,5,-25,38414
38414,5,-25,37923
37923,5,-25,37432
37432,5,-25,37440
37440,5,-25,36949
36949,5,-25,36957
36957,5,99975,36965
25343,1,-225,24718
24718,7,-225,24718
24718,5,-25,24718
24718,5,-25,24718
24718,1,-225,24217
24217,1,-225,23717
23717,2,-100,23215
23215,5,-25,23214
23214,4,0,23213
23213,2,-100,22712
22712,6,-100,23210
23210,7,-225,23209
23209,4,0,23208
23208,5,-25,23707
23707,2,-100,23206
23206,7,-225,23205
23205,3,-25,23204
23204,6,-100,23703
23703,3,-25,23702
23702,6,-100,23701
23701,3,-25,23700
23700,1,-225,23199
23199,3,-25,23198
23198,5,-25,23697
23697,7,-225,24196
24196,7,-225,24196
24196,4,0,24695
24695,3,-25,24195
24195,2,-100,24194
24194,6,-100,24694
24694,7,-225,25194
25194,4,0,25194
25194,7,-225,25695
25695,1,-225,25195
25195,7,-225,25696
25696,5,-25,26197
26197,6,-100,26198
26198,2,-100,26198
26198,3,-25,26199
26199,6,-100,26700
26700,7,-225,26702
26702,1,-225,26703
26703,6,-100,26704
26704,6,-100,27206
27206,1,-225,26707
26707,2,-100,26708
26708,5,-25,26710
26710,4,0,26711
26711,4,0,26712
26712,2,-100,26213
26213,1,-225,25713
25713,5,-25,25714
25714,3,-25,25714
25714,1,-225,25215
25215,4,0,25215
25215,1,-225,24715
24715,6,-100,24714
24714,1,-225,24714
24714,5,-25,24714
24714,4,0,24213
24213,2,-100,24213
24213,2,-100,23712
23712,4,0,23711
23711,5,-25,23710
23710,3,-25,23209
23209,7,-225,23708
23708,7,-225,24207
24207,2,-100,23706
23706,2,-100,23205
23205,2,-100,23204
23204,7,-225,23203
23203,7,-225,23702
23702,1,-225,23201
23201,5,-25,23700
23700,4,0,23699
23699,7,-225,24198
24198,1,-225,23697
23697,4,0,23697
23697,5,-25,24196
24196,4,0,24195
24195,6,-100,24695
24695,1,-225,24195
24195,1,-225,24194
24194,5,-25,24194
24194,4,0,24694
24694,5,-25,24693
24693,7,-225,25194
25194,3,-25,25194
25194,3,-25,25194
25194,1,-225,25194
25194,5,-25,25194
25194,5,-25,25695
25695,7,-225,26195
26195,7,-225,26196
26196,7,-225,26698
26698,6,-100,27199
27199,5,-25,27201
27201,6,-100,27703
27703,3,-25,27705
27705,7,-225,27707
27707,7,-225,28209
28209,5,-25,28211
28211,4,0,28214
28214,7,-225,28216
28216,5,-25,28719
28719,1,-225,28221
28221,5,-25,28223
28223,3,-25,27725
27725,4,0,27227
27227,4,0,27228
27228,1,-225,26729
26729,2,-100,26230
26230,7,-225,26231
26231,1,-225,25731
25731,2,-100,25231
25231,3,-25,24731
24731,3,-25,24231
24231,7,-225,24230
24230,7,-225,24229
24229,3,-25,23729
23729,5,-25,23728
23728,5,-25,23727
23727,6,-100,23726
23726,7,-225,23725
23725,1,-225,23224
23224,4,0,23222
23222,7,-225,23221
23221,6,-100,23220
23220,7,-225,23219
23219,1,-225,23217
23217,3,-25,22716
22716,4,0,22714
22714,2,-100,22212
22212,3,-25,21710
21710,3,-25,21708
21708,5,-25,21706
21706,2,-100,21703
21703,2,-100,21201
21201,6,-100,21698
21698,3,-25,21696
21696,7,-225,21694
21694,7,-225,22192
22192,7,-225,22690
22690,2,-100,22689
22689,2,-100,22687
22687,2,-100,22185
22185,2,-100,22183
22183,3,-25,22181
22181,5,-25,22680
22680,7,-225,23179
23179,2,-100,23177
23177,5,-25,23677
23677,3,-25,23676
23676,3,-25,24175
24175,5,-25,24675
24675,3,-25,24675
24675,7,-225,25175
25175,1,-225,25175
25175,2,-100,25175
25175,6,-100,25676
25676,1,-225,25677
25677,2,-100,25677
25677,3,-25,26178
26178,2,-100,26179
26179,4,0,26180
26180,6,-100,26681
26681,4,0,27182
27182,7,-225,27684
27684,3,-25,27686
27686,1,-225,27688
27688,5,-25,27690
27690,5,-25,28192
28192,3,-25,28195
28195,1,-225,28197
28197,3,-25,27699
27699,1,-225,27701
27701,1,-225,27202
27202,3,-25,27204
27204,7,-225,27706
27706,2,-100,27208
27208,1,-225,26709
26709,5,-25,27210
27210,3,-25,26712
26712,2,-100,26213
26213,3,-25,26214
26214,1,-225,25714
25714,1,-225,25215
25215,6,-100,25715
25715,6,-100,25716
25716,4,0,25716
25716,3,-25,25216
25216,1,-225,25216
25216,2,-100,24716
24716,1,-225,24216
24216,6,-100,24215
24215,2,-100,23714
23714,4,0,23714
23714,3,-25,23713
23713,4,0,23211
23211,2,-100,23210
23210,4,0,23209
23209,1,-225,22707
22707,4,0,22706
22706,4,0,22704
22704,3,-25,22702
22702,1,-225,22200
22200,4,0,22198
22198,7,-225,22697
22697,4,0,22695
22695,1,-225,22693
22693,6,-100,22692
22692,5,-25,23191
23191,6,-100,23690
23690,1,-225,23689
23689,5,-25,23688
23688,6,-100,24188
24188,3,-25,24187
24187,1,-225,24187
24187,2,-100,24186
24186,4,0,24186
24186,1,-225,24185
24185,6,-100,24685
24685,2,-100,24685
24685,4,0,24685
24685,3,-25,24685
24685,6,-100,25185
25185,2,-100,25185
25185,3,-25,25186
25186,3,-25,25186
25186,1,-225,25186
25186,2,-100,25186
25186,3,-25,25187
25187,7,-225,25687
25687,3,-25,25688
25688,7,-225,26189
26189,4,0,26190
26190,3,-25,26191
26191,1,-225,26192
26192,2,-100,26192
26192,6,-100,26694
26694,4,0,26695
26695,1,-225,26696
26696,7,-225,26697
26697,1,-225,26698
26698,7,-225,27200
27200,2,-100,26701
26701,4,0,26702
26702,3,-25,26704
26704,1,-225,26205
26205,6,-100,26706
26706,6,-100,27207
27207,5,-25,27209
27209,2,-100,26710
26710,2,-100,26211
26211,1,-225,26212
26212,3,-25,25712
25712,5,-25,25713
25713,7,-225,26214
26214,6,-100,26215
26215,3,-25,26216
26216,6,-100,26216
26216,6,-100,26218
26218,4,0,26218
26218,6,-100,26219
26219,3,-25,26220
26220,5,-25,26221
26221,3,-25,25722
25722,5,-25,25722
25722,2,-100,25223
25223,4,0,25223
25223,7,-225,25223
25223,3,-25,24723
24723,2,-100,24222
24222,2,-100,23722
23722,5,-25,23721
23721,5,-25,23720
23720,6,-100,24219
24219,3,-25,23718
23718,5,-25,23718
23718,4,0,23717
23717,1,-225,23215
23215,5,-25,23214
23214,3,-25,22713
22713,7,-225,23211
23211,1,-225,22710
22710,3,-25,22708
22708,4,0,22706
22706,7,-225,22705
22705,7,-225,23204
23204,3,-25,23202
23202,5,-25,23201
23201,7,-225,23700
23700,5,-25,23699
23699,6,-100,24198
24198,6,-100,24698
24698,6,-100,24698
24698,5,-25,25198
25198,5,-25,25198
25198,4,0,25199
25199,2,-100,25199
25199,2,-100,24699
24699,4,0,25199
25199,7,-225,25199
25199,5,-25,25699
25699,7,-225,25700
25700,2,-100,25701
25701,4,0,25701
25701,2,-100,25201
25201,7,-225,25702
25702,7,-225,26203
26203,5,-25,26204
26204,1,-225,26204
26204,5,-25,26205
26205,4,0,26206
26206,3,-25,26207
26207,5,-25,26208
26208,6,-100,26209
26209,4,0,26210
26210,4,0,26211
26211,4,0,26212
26212,3,-25,26212
26212,3,-25,25713
25713,6,-100,26214
26214,7,-225,26215
26215,3,-25,26215
26215,6,-100,26216
26216,2,-100,25717
25717,6,-100,25717
25717,7,-225,26218
26218,7,-225,26219
26219,3,-25,26220
26220,7,-225,26221
26221,3,-25,25721
25721,5,-25,25722
25722,5,-25,25722
25722,5,-25,25723
25723,3,-25,25223
25223,3,-25,25223
25223,7,-225,25223
25223,4,0,24723
24723,7,-225,25223
25223,3,-25,24723
24723,6,-100,24723
24723,1,-225,24223
24223,2,-100,23722
23722,5,-25,23721
23721,2,-100,23220
23220,1,-225,22718
22718,3,-25,22717
22717,7,-225,22715
22715,2,-100,22213
22213,6,-100,22712
22712,6,-100,22710
22710,3,-25,22708
22708,4,0,22707
22707,7,-225,22705
22705,6,-100,23204
23204,7,-225,23203
23203,1,-225,23201
23201,5,-25,23200
23200,4,0,23199
23199,4,0,23698
23698,2,-100,23197
23197,3,-25,23196
23196,5,-25,23195
23195,3,-25,23193
23193,1,-225,23192
23192,4,0,23191
